,eurogrid_0250_1,populacja_razem,populacja_lokale,populacja_k_razem,populacja_m_razem,populacja_00_04,populacja_05_09,populacja_10_14,populacja_15_19,populacja_20_24,populacja_25_29,populacja_30_34,populacja_35_39,populacja_40_44,populacja_45_49,populacja_50_54,populacja_55_59,populacja_60_64,populacja_65_69,populacja_70_74,populacja_75_99,msw_2012_lokale,msw_2013_lokale,msw_2014_lokale,msw_2015_lokale,msw_2016_lokale,msw_2012_popul_razem,msw_2013_popul_razem,msw_2014_popul_razem,msw_2015_popul_razem,msw_2016_popul_razem,budynki_all,budynki_mieszkalne,eurogrid_0250_2,krs_razem,krs_spolki,ceidg_razem,ceidg_aktywne,ceidg_nieaktywne,ceidg_aktywne_pkd_a,ceidg_aktywne_pkd_b,ceidg_aktywne_pkd_c,ceidg_aktywne_pkd_d,ceidg_aktywne_pkd_e,ceidg_aktywne_pkd_f,ceidg_aktywne_pkd_g,ceidg_aktywne_pkd_h,ceidg_aktywne_pkd_i,ceidg_aktywne_pkd_j,ceidg_aktywne_pkd_k,ceidg_aktywne_pkd_l,ceidg_aktywne_pkd_m,ceidg_aktywne_pkd_n,ceidg_aktywne_pkd_o,ceidg_aktywne_pkd_p,ceidg_aktywne_pkd_q,ceidg_aktywne_pkd_r,ceidg_aktywne_pkd_s,ceidg_aktywne_pkd_t,ceidg_aktywne_pkd_u,ceidg_aktywne_rok_zal_2016,ceidg_aktywne_rok_zal_2015,ceidg_aktywne_rok_zal_2014,ceidg_aktywne_rok_zal_2013,ceidg_aktywne_rok_zal_2012,ceidg_aktywne_rok_zal_2011,ceidg_aktywne_rok_zal_2010,ceidg_aktywne_rok_zal_2009,ceidg_aktywne_rok_zal_2008,ceidg_aktywne_rok_zal_2007,ceidg_aktywne_rok_zal_2006,ceidg_aktywne_rok_zal_2005,ceidg_aktywne_rok_zal_2004,ceidg_aktywne_rok_zal_2003,ceidg_aktywne_rok_zal_2002,ceidg_aktywne_rok_zal_2001,ceidg_aktywne_rok_zal_2000,ceidg_aktywne_rok_zal_1999,eurogrid_0250_3,dochod_bud_pra,eurogrid_0250_4,kod_pocztowy,nazwa_miejsc,kod_miejsc,nazwa_cz_miejsc,kod_cz_miejsc,kod_gminy,kod_gminy_distr,nazwa_woj,nazwa_pow,nazwa_gmi,segment_gminy,populacja_razem_agr,populacja_lokale_agr,Dzieci_agr,Niepelnoletni_agr,Dorosli_agr,Emeryci_agr,populacja_k_razem_agr,populacja_m_razem_agr,msw_2012_popul_razem_agr,msw_2013_popul_razem_agr,msw_2014_popul_razem_agr,msw_2015_popul_razem_agr,msw_2016_popul_razem_agr,budynki_mieszkalne_agr,budynki_all_agr,ceidg_aktywne_agr,dochod_bud_pra_agr,dochod_pop_agr,grid_x,Bank_agr,Bankomat_agr,Centra Handlowe_agr,Fast Food_agr,Hazard_agr,Hotel_agr,Kociół_agr,Przedszkola i punkty przedszkolne_agr,Przystanek autobusowy_agr,Przystanek tramwajowy_agr,Restauracja_agr,Rozrywka Inne_agr,Rozrywka Sport_agr,Sklep_agr,Szkoły podstawowe_agr,Usługi Medyczne_agr,Warsztat samochodowy_agr,Wypożyczalnia Rowerów_agr,Zakład Karny_agr,grid_y,Bank,Bankomat,Centra Handlowe,Fast Food,Hazard,Hotel,Kociół,Przedszkola i punkty przedszkolne,Przystanek autobusowy,Przystanek tramwajowy,Restauracja,Rozrywka Inne,Rozrywka Sport,Sklep,Szkoły podstawowe,Usługi Medyczne,Warsztat samochodowy,Wypożyczalnia Rowerów,Zakład Karny,grid,eurogrid_0250,dist,populacja_razem_suma,populacja_lokale_suma,populacja_k_razem_suma,populacja_m_razem_suma,msw_2012_popul_razem_suma,msw_2013_popul_razem_suma,msw_2014_popul_razem_suma,msw_2015_popul_razem_suma,msw_2016_popul_razem_suma,budynki_all_suma,budynki_mieszkalne_suma,ceidg_aktywne_suma,dochod_bud_pra_suma,Bank_suma,Bankomat_suma,Centra Handlowe_suma,Fast Food_suma,Hazard_suma,Hotel_suma,Kociół_suma,Przedszkola i punkty przedszkolne_suma,Przystanek autobusowy_suma,Przystanek tramwajowy_suma,Restauracja_suma,Rozrywka Inne_suma,Rozrywka Sport_suma,Sklep_suma,Szkoły podstawowe_suma,Usługi Medyczne_suma,Warsztat samochodowy_suma,Wypożyczalnia Rowerów_suma,Zakład Karny_suma,przystanki,stosunek_dzieci
2291,1kmN3041E5034_33,152,63,92,60,9,11,8,8,7,10,9,18,17,13,9,9,4,6,5,9,57,58,57,61,62,150,149,148,153,150,27,17,1kmN3041E5034_33,2,2,24,13,11,0,0,3,0,0,2,2,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,2,0,1,1,1,0,1,0,1,0,1,0,0,0,0,3,1kmN3041E5034_33,4699,1kmN3041E5034_33,30-718,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,1216,504,160,128,768,160,736,480,1200,1192,1184,1224,1200,136,216,104,37592,5713984,1kmN3041E5034_33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1kmN3041E5034_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5034_33,4254.474562537618,1368,567,828,540,1350,1341,1332,1377,1350,243,153,117,42291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334
2292,1kmN3041E5034_34,305,127,166,139,16,15,26,17,12,12,40,22,39,27,6,37,11,11,3,11,102,100,100,103,105,258,255,255,259,260,36,34,1kmN3041E5034_34,5,2,35,24,11,0,0,3,0,0,2,6,2,0,3,1,0,4,0,0,1,2,0,0,0,0,0,2,1,2,2,3,0,2,0,2,2,1,0,0,0,0,1,6,1kmN3041E5034_34,5198,1kmN3041E5034_34,30-717,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,2440,1016,248,344,1648,200,1328,1112,2064,2040,2040,2072,2080,272,288,192,41584,12683120,1kmN3041E5034_34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,1kmN3041E5034_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5034_34,4174.534815028706,2745,1143,1494,1251,2322,2295,2295,2331,2340,324,306,216,46782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15048543689320387
2293,1kmN3041E5034_41,242,83,116,126,11,8,6,2,8,36,27,22,6,4,13,47,32,16,3,1,83,83,82,83,82,264,253,252,247,243,2,1,1kmN3041E5034_41,1,1,24,10,13,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,2,0,0,0,0,1,1,1kmN3041E5034_41,4381,1kmN3041E5034_41,30-718,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,1936,664,152,64,1560,160,928,1008,2112,2024,2016,1976,1944,8,16,80,35048,8481616,1kmN3041E5034_41,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3041E5034_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5034_41,4306.393072160542,2178,747,1044,1134,2376,2277,2268,2223,2187,18,9,90,39429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09743589743589744
2294,1kmN3041E5034_42,304,93,150,154,19,10,5,7,14,39,40,19,7,8,47,38,29,13,4,5,89,90,89,91,92,308,311,309,313,305,5,5,1kmN3041E5034_42,0,0,21,9,9,0,0,0,0,0,3,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,1,0,2,1kmN3041E5034_42,4090,1kmN3041E5034_42,30-718,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,2432,744,232,96,1928,176,1200,1232,2464,2488,2472,2504,2440,40,40,72,32720,9946880,1kmN3041E5034_42,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1kmN3041E5034_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5034_42,4354.8588169855,2736,837,1350,1386,2772,2799,2781,2817,2745,45,45,81,36810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12033195020746888
2295,1kmN3041E5034_43,292,124,155,137,36,14,12,16,11,47,56,30,18,18,5,7,10,3,4,5,53,53,53,102,123,160,158,156,241,293,21,19,1kmN3041E5034_43,1,1,31,23,8,0,0,3,0,0,0,7,3,0,2,0,0,3,2,0,0,3,0,0,0,0,2,9,3,0,0,4,2,0,0,0,0,0,2,0,0,0,0,1,1kmN3041E5034_43,4658,1kmN3041E5034_43,30-718,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,2336,992,400,224,1616,96,1240,1096,1280,1264,1248,1928,2344,152,168,184,37264,10881088,1kmN3041E5034_43,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1kmN3041E5034_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3041E5034_43,1kmN3041E5034_43,4108.52996015461,2628,1116,1395,1233,1440,1422,1404,2169,2637,189,171,207,41922,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.24752475247524752
2306,1kmN3041E5035_32,48,16,28,20,1,0,2,2,8,5,3,1,5,3,6,2,0,2,5,3,16,16,16,16,16,54,51,49,48,48,13,13,1kmN3041E5035_32,0,0,7,6,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1kmN3041E5035_32,4625,1kmN3041E5035_32,30-723,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,384,128,8,32,264,80,224,160,432,408,392,384,384,104,104,48,37000,1776000,1kmN3041E5035_32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1kmN3041E5035_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5035_32,5459.342781066968,432,144,252,180,486,459,441,432,432,117,117,54,41625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304
2309,1kmN3041E5035_41,10,2,6,4,1,0,0,0,0,2,0,1,0,1,0,2,2,0,0,1,2,2,2,2,2,12,13,10,10,10,6,3,1kmN3041E5035_41,7,7,6,5,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1kmN3041E5035_41,4355,1kmN3041E5035_41,31-587,KRAKÓW,950463,KRAKÓW-NOWA HUTA,950718,1261011,1261039,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-NOWA HUTA,A1,80,16,8,0,64,8,48,32,96,104,80,80,80,24,48,40,34840,348400,1kmN3041E5035_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5035_41,5306.799253730428,90,18,54,36,108,117,90,90,90,54,27,45,39195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
2312,1kmN3041E5035_44,9,1,4,5,1,0,0,3,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,9,9,8,9,9,1,1,1kmN3041E5035_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1kmN3041E5035_44,4437,1kmN3041E5035_44,31-574,KRAKÓW,950463,KRAKÓW-NOWA HUTA,950718,1261011,1261039,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-NOWA HUTA,A1,72,8,8,24,32,8,32,40,72,72,64,72,72,8,8,0,35496,319464,1kmN3041E5035_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1kmN3041E5035_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5035_44,5056.289052762801,81,9,36,45,81,81,72,81,81,9,9,0,39933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2313,1kmN3041E5036_11,4,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,2,2,2,2,4,4,4,4,4,3,3,1kmN3041E5036_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1kmN3041E5036_11,4408,1kmN3041E5036_11,30-723,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,32,16,0,0,24,8,16,16,32,32,32,32,32,24,24,0,35264,141056,1kmN3041E5036_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1kmN3041E5036_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5036_11,6813.477361112232,36,18,18,18,36,36,36,36,36,27,27,0,39672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2314,1kmN3041E5036_12,49,12,26,23,2,2,1,6,4,4,3,3,3,4,3,3,4,1,1,5,11,12,12,12,12,48,51,49,49,49,14,14,1kmN3041E5036_12,0,0,6,3,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1kmN3041E5036_12,4455,1kmN3041E5036_12,30-723,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,392,96,32,56,248,56,208,184,384,408,392,392,392,112,112,24,35640,1746360,1kmN3041E5036_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1kmN3041E5036_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5036_12,6844.3151125703125,441,108,234,207,432,459,441,441,441,126,126,27,40095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
2315,1kmN3041E5036_13,36,11,11,25,0,1,1,1,4,6,0,0,2,2,7,4,1,1,3,3,11,11,11,11,11,42,42,42,40,36,11,11,1kmN3041E5036_13,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1kmN3041E5036_13,4641,1kmN3041E5036_13,30-723,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,288,88,8,16,208,56,88,200,336,336,336,320,288,88,88,8,37128,1336608,1kmN3041E5036_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5036_13,6594.035921940729,324,99,99,225,378,378,378,360,324,99,99,9,41769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464
2316,1kmN3041E5036_14,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1kmN3041E5036_14,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1kmN3041E5036_14,4747,1kmN3041E5036_14,30-723,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,8,8,0,0,8,0,8,0,0,0,0,8,8,8,16,8,37976,37976,1kmN3041E5036_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5036_14,6562.032545378232,9,9,9,0,0,0,0,9,9,18,9,9,42723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2317,1kmN3041E5036_21,48,13,28,20,3,5,2,0,1,1,7,6,1,0,1,9,6,1,0,5,12,12,12,13,13,48,47,48,48,48,14,12,1kmN3041E5036_21,2,2,4,4,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1kmN3041E5036_21,4360,1kmN3041E5036_21,30-737,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,384,104,64,16,256,48,224,160,384,376,384,384,384,96,112,32,34880,1674240,1kmN3041E5036_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1kmN3041E5036_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5036_21,6884.251443015051,432,117,252,180,432,423,432,432,432,126,108,36,39240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2318,1kmN3041E5036_22,120,31,59,61,5,7,5,8,6,8,15,12,12,3,2,9,12,7,3,6,27,26,26,27,29,116,115,114,116,116,28,26,1kmN3041E5036_22,1,0,15,12,3,0,0,2,0,0,2,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,5,1kmN3041E5036_22,4638,1kmN3041E5036_22,30-722,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,960,248,96,104,632,128,472,488,928,920,912,928,928,208,224,96,37104,4452480,1kmN3041E5036_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3041E5036_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1kmN3041E5036_22,1kmN3041E5036_22,6933.128973742551,1080,279,531,549,1044,1035,1026,1044,1044,252,234,108,41742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1518987341772152
2319,1kmN3041E5036_23,77,22,42,35,3,2,3,2,10,8,7,2,4,8,3,7,3,5,2,8,18,19,19,19,22,77,78,77,75,77,23,20,1kmN3041E5036_23,1,1,9,3,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1kmN3041E5036_23,4348,1kmN3041E5036_23,30-737,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,616,176,40,40,416,120,336,280,616,624,616,600,616,160,184,24,34784,2678368,1kmN3041E5036_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1kmN3041E5036_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5036_23,6686.1546214242835,693,198,378,315,693,702,693,675,693,207,180,27,39132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09615384615384616
2320,1kmN3041E5036_24,67,16,34,33,4,5,3,2,4,3,5,9,3,5,4,3,6,6,2,3,14,15,15,16,16,58,61,65,67,67,15,15,1kmN3041E5036_24,0,0,4,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1kmN3041E5036_24,4432,1kmN3041E5036_24,30-737,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,536,128,72,40,336,88,272,264,464,488,520,536,536,120,120,16,35456,2375552,1kmN3041E5036_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1kmN3041E5036_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5036_24,6635.468428829413,603,144,306,297,522,549,585,603,603,135,135,18,39888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427
2321,1kmN3041E5036_31,16,6,11,5,0,1,1,4,1,0,0,2,1,4,0,0,0,1,1,0,5,5,6,6,6,11,11,16,16,16,6,6,1kmN3041E5036_31,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1kmN3041E5036_31,4968,1kmN3041E5036_31,30-737,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,128,48,8,40,64,16,88,40,88,88,128,128,128,48,48,8,39744,635904,1kmN3041E5036_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5036_31,6387.004048685989,144,54,99,45,99,99,144,144,144,54,54,9,44712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
2322,1kmN3041E5036_32,24,9,13,11,0,0,0,0,1,3,0,2,2,3,4,2,2,1,1,3,9,9,9,9,9,24,25,24,24,24,15,11,1kmN3041E5036_32,1,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1kmN3041E5036_32,4968,1kmN3041E5036_32,30-737,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,192,72,0,0,152,40,104,88,192,200,192,192,192,88,120,32,39744,953856,1kmN3041E5036_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3041E5036_32,6439.635493032242,216,81,117,99,216,225,216,216,216,135,99,36,44712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
